"date_release","win","mac","linux","rating","price_final","steam_deck"
"2008","true","false","false","Very Positive",19.99,"true"
"2008","true","false","false","Very Positive",9.99,"true"
"2011","true","false","false","Positive",2.99,"true"
"2013","true","true","true","Very Positive",14.99,"true"
"2014","true","false","false","Mixed",14.99,"true"
"2014","true","true","false","Very Positive",11.99,"true"
"2015","true","false","false","Very Positive",7.99,"true"
"2013","true","true","true","Mostly Positive",4.99,"true"
"2022","true","false","false","Very Positive",49.99,"true"
"2014","true","false","false","Mixed",6.99,"true"
"2015","true","false","false","Very Positive",14.99,"true"
"2008","true","false","false","Mostly Positive",9.99,"true"
"2008","true","false","false","Very Positive",9.99,"true"
"2010","true","false","false","Very Positive",19.99,"true"
"2009","true","false","false","Very Positive",14.99,"true"
"2009","true","true","true","Very Positive",9.99,"true"
"2009","true","false","false","Very Positive",9.99,"true"
"2013","true","false","false","Mostly Positive",9.99,"true"
"2015","true","false","false","Mostly Positive",14.99,"true"
"2014","true","true","true","Very Positive",0.89,"true"
"2013","true","true","true","Mostly Positive",2.39,"true"
"2014","true","true","false","Very Positive",2.99,"true"
"2014","true","false","false","Very Positive",3.99,"true"
"2018","true","true","true","Mostly Positive",19.99,"true"
"2014","true","true","false","Very Positive",29.99,"true"
"2014","true","true","true","Very Positive",6.99,"true"
"2015","true","false","false","Mostly Positive",0,"true"
"2015","true","false","false","Very Positive",2.99,"true"
"2015","true","true","true","Very Positive",14.99,"true"
"2017","true","true","true","Very Positive",9.99,"true"
"2015","true","true","false","Mostly Positive",29.99,"true"
"2016","true","false","false","Very Positive",9.99,"true"
"2016","true","false","false","Mostly Positive",19.99,"true"
"2016","true","false","false","Very Positive",14.99,"true"
"2016","false","false","false","Positive",11.99,"true"
"2016","true","true","false","Positive",9.99,"true"
"2022","true","true","false","Very Positive",4.99,"true"
"2013","true","false","false","Very Positive",9.99,"true"
"2017","true","true","true","Very Positive",24.99,"true"
"2014","true","true","true","Very Positive",6.99,"true"
"2016","true","true","true","Very Positive",19.99,"true"
"2014","true","false","false","Very Positive",7.99,"true"
"2015","true","false","true","Very Positive",5.99,"true"
"2016","true","true","false","Overwhelmingly Positive",19.99,"true"
"2015","true","true","true","Very Positive",4.99,"true"
"2016","true","false","false","Very Positive",9.99,"true"
"2016","true","false","false","Very Positive",29.99,"true"
"2016","true","false","false","Very Positive",20.99,"true"
"2015","true","false","false","Mostly Positive",4.99,"true"
"2017","true","false","false","Mixed",29.99,"true"
"2023","true","false","false","Mixed",19.99,"true"
"2016","true","true","true","Very Positive",0.89,"true"
"2016","true","true","true","Very Positive",19.99,"true"
"2015","true","false","false","Very Positive",3.99,"true"
"2015","true","false","false","Very Positive",4.99,"true"
"2014","true","false","false","Very Positive",6.99,"true"
"2014","true","true","true","Very Positive",7.99,"true"
"2016","true","true","true","Very Positive",29.99,"true"
"2014","true","false","false","Very Positive",4.99,"true"
"2015","true","false","false","Mostly Positive",1.99,"true"
"2014","true","true","true","Overwhelmingly Positive",6.99,"true"
"2019","true","true","true","Mixed",5.09,"true"
"2018","true","false","false","Mostly Positive",0.99,"true"
"2015","true","true","true","Positive",4.99,"true"
"2017","true","false","false","Very Positive",14.99,"true"
"2016","true","true","true","Overwhelmingly Positive",7.99,"true"
"2018","true","false","false","Very Positive",19.99,"true"
"2018","true","true","true","Very Positive",9.99,"true"
"2016","true","false","false","Positive",1.99,"true"
"2016","true","false","false","Very Positive",12.99,"true"
"2016","true","true","true","Positive",19.99,"true"
"2016","true","false","false","Mostly Positive",59.99,"true"
"2019","true","false","false","Overwhelmingly Positive",9.99,"true"
"2020","true","false","false","Very Positive",6.99,"true"
"2009","true","false","false","Very Positive",9.99,"true"
"2009","true","false","false","Very Positive",4.99,"true"
"2010","true","false","false","Mixed",19.99,"true"
"2011","true","false","true","Overwhelmingly Positive",9.99,"true"
"2010","true","false","false","Very Positive",9.99,"true"
"2013","true","true","true","Mostly Positive",0.99,"true"
"2014","true","false","false","Very Positive",14.99,"true"
"2016","true","true","true","Very Positive",19.99,"true"
"2014","true","true","true","Very Positive",19.99,"true"
"2015","true","false","false","Mostly Positive",9.99,"true"
"2015","true","true","true","Very Positive",9.99,"true"
"2016","true","false","false","Very Positive",4.99,"true"
"2015","true","false","false","Very Positive",0.99,"true"
"2019","true","false","false","Very Positive",19.99,"true"
"2016","true","true","true","Overwhelmingly Positive",24.99,"true"
"2016","true","true","false","Positive",7.99,"true"
"2016","true","false","false","Very Positive",199.99,"true"
"2016","true","false","false","Positive",2.99,"true"
"2018","true","false","false","Mostly Positive",0,"true"
"2014","true","true","true","Very Positive",9.99,"true"
"2014","true","false","false","Mostly Positive",7.99,"true"
"2014","true","true","true","Very Positive",9.99,"true"
"2014","true","true","false","Mostly Positive",29.99,"true"
"2014","true","true","true","Very Positive",6.99,"true"
"2015","true","false","false","Very Positive",19.99,"true"
"2020","true","false","true","Overwhelmingly Positive",19.99,"true"
"2015","true","true","true","Very Positive",4.99,"true"
"2015","true","true","true","Mixed",7.99,"true"
"2015","true","false","false","Mixed",1.99,"true"
"2016","true","true","false","Very Positive",14.99,"true"
"2017","true","false","false","Very Positive",29.99,"true"
"2016","true","true","true","Very Positive",0,"true"
"2016","true","true","false","Very Positive",6.66,"true"
"2016","true","false","false","Very Positive",11.99,"true"
"2017","true","false","false","Very Positive",19.99,"true"
"2016","true","false","false","Mixed",2.99,"true"
"2017","true","true","true","Very Positive",1.99,"true"
"2017","true","false","false","Very Positive",19.99,"true"
"2017","true","true","true","Very Positive",6.99,"true"
"2019","true","false","false","Very Positive",2.99,"true"
"2018","true","true","true","Positive",1.99,"true"
"2018","true","true","false","Very Positive",6.99,"true"
"2017","true","true","false","Mostly Positive",9.99,"true"
"2016","true","true","true","Very Positive",9.99,"true"
"2016","true","true","false","Very Positive",9.99,"true"
"2018","true","true","true","Very Positive",14.99,"true"
"2017","true","false","false","Mostly Positive",9.99,"true"
"2017","true","false","false","Very Positive",9.99,"true"
"2017","true","false","false","Very Positive",59.99,"true"
"2017","false","false","false","Positive",9.99,"true"
"2017","true","true","true","Very Positive",19.99,"true"
